SourcePub,Profile_name,X,Y
Frankel2001,3,225.653,519.475
Frankel2001,3,225.653,519.475
Frankel2001,3,226.853,519.323
Frankel2001,3,228.202,519.323
Frankel2001,3,229.552,519.173
Frankel2001,3,234.5,519.173
Frankel2001,3,237.8,519.023
Frankel2001,3,237.8,519.023
Frankel2001,3,239.449,518.874
Frankel2001,3,241.101,518.574
Frankel2001,3,244.698,517.973
Frankel2001,3,247.998,517.373
Frankel2001,3,249.648,517.072
Frankel2001,3,250.995,516.772
Frankel2001,3,250.995,516.772
Frankel2001,3,252.197,516.472
Frankel2001,3,253.245,516.322
Frankel2001,3,255.196,515.721
Frankel2001,3,256.996,515.27
Frankel2001,3,258.794,514.82
Frankel2001,3,258.794,514.82
Frankel2001,3,260.895,514.37
Frankel2001,3,262.994,513.769
Frankel2001,3,265.093,513.169
Frankel2001,3,266.893,512.718
Frankel2001,3,266.893,512.718
Frankel2001,3,268.543,512.269
Frankel2001,3,269.892,511.668
Frankel2001,3,272.441,510.767
Frankel2001,3,272.441,510.767
Frankel2001,3,273.342,510.467
Frankel2001,3,274.54,510.017
Frankel2001,3,275.891,509.716
Frankel2001,3,276.642,509.416
Frankel2001,3,277.54,509.266
Frankel2001,3,277.54,509.266
Frankel2001,3,279.041,508.966
Frankel2001,3,280.838,508.516
Frankel2001,3,282.94,508.065
Frankel2001,3,285.039,507.615
Frankel2001,3,289.687,506.715
Frankel2001,3,291.786,506.414
Frankel2001,3,293.887,505.963
Frankel2001,3,293.887,505.963
Frankel2001,3,297.785,505.213
Frankel2001,3,301.384,504.612
Frankel2001,3,308.884,503.412
Frankel2001,3,308.884,503.412
Frankel2001,3,316.381,501.91
Frankel2001,3,324.029,500.409
Frankel2001,9,66.626,560.766
Frankel2001,9,66.776,560.766
Frankel2001,9,66.926,560.617
Frankel2001,9,67.676,560.468
Frankel2001,9,67.676,560.468
Frankel2001,9,68.576,560.17
Frankel2001,9,69.627,559.871
Frankel2001,9,70.978,559.573
Frankel2001,9,72.479,559.125
Frankel2001,9,73.979,558.677
Frankel2001,9,76.68,558.08
Frankel2001,9,77.731,557.782
Frankel2001,9,77.731,557.782
Frankel2001,9,78.931,557.633
Frankel2001,9,79.981,557.484
Frankel2001,9,81.332,557.484
Frankel2001,9,82.232,557.335
Frankel2001,9,83.133,557.185
Frankel2001,9,83.133,557.185
Frankel2001,9,84.033,557.036
Frankel2001,9,85.084,556.738
Frankel2001,9,86.285,556.588
Frankel2001,9,87.635,556.29
Frankel2001,9,90.636,555.693
Frankel2001,9,93.788,554.947
Frankel2001,9,96.789,554.35
Frankel2001,9,99.64,553.604
